№;Страна;Население;Дата;% от населения Земли
153; Тринидад и Тобаго;1 317 714;1 июля 2010;0,02%
154; Маврикий;1 295 789;1 июля 2013;0,02%
155; Свазиленд;1 250 000;1 июля 2013;0,02%
156; Бахрейн;1 234 571;27 апреля 2010;0,02%
157; Восточный Тимор;1 066 409;11 июля 2010;0,02%
158; Фиджи;881 000;1 июля 2013;0,01%
159; Джибути;873 000;1 июля 2013;0,01%
160; Кипр;865 878;1 января 2013;0,01%
161; Реюньон (Франция);816 364;1 января 2009;0,01%
162; Гайана;761 510;конец 2006;0,01%
163; Экваториальная Гвинея;757 000;1 июля 2013;0,01%
164; Бутан;754 000;1 июля 2013;0,01%
165; Коморы;735 000;1 июля 2013;0,01%
166; Черногория;622 777;1 января 2013;0,01%
167; Западная Сахара;567 000;1 июля 2013;0,01%
168; Соломоновы Острова;561 000;1 июля 2013;0,01%
169; Макао (КНР);542 200;31 декабря 2009;0,01%
170; Суринам;539 000;1 июля 2013;0,01%
171; Люксембург;537 039;1 января 2013;0,01%
172; Кабо-Верде;499 000;1 июля 2013;0,01%
173; Бруней;418 000;1 июля 2013;0,01%
174; Мальта;417 520;1 января 2012;0,01%
175; Гваделупа (Франция);401 554;1 января 2009;0,01%
176; Мартиника (Франция);396 404;1 января 2009;0,01%
177; Багамы;377 000;1 июля 2013;0,01%
178; Мальдивы;345 000;1 июля 2013;0,01%
179; Белиз;322 100;30 июня 2008;0,01%
180; Исландия;319 575;1 января 2012;0,00%
181; Барбадос;285 000;1 июля 2013;0,00%
182; Французская Полинезия (Франция);277 000;1 июля 2013;0,00%
183; Новая Каледония (Франция);256 000;1 июля 2013;0,00%
184; Вануату;253 000;1 июля 2013;0,00%
185; Гвиана (Франция);232 200;1 января 2010;0,00%
186; Майотта (Франция);222 000;1 июля 2013;0,00%
187; Сан-Томе и Принсипи;193 000;1 июля 2013;0,00%
188; Самоа;190 000;1 июля 2013;0,00%
189; Сент-Люсия;182 000;1 июля 2013;0,00%
190; Гуам (США);165 000;1 июля 2013;0,00%
191; Кюрасао (Нидерланды);149 679;26 марта 2011;0,00%
192; Сент-Винсент и Гренадины;109 000;1 июля 2013;0,00%
193; Американские Виргинские острова (США);107 000;1 июля 2013;0,00%
194; Гренада;106 000;1 июля 2013;0,00%
195; Тонга;105 000;1 июля 2013;0,00%
196; Федеративные Штаты Микронезии;104 000;1 июля 2013;0,00%
197; Аруба (Нидерланды);103 000;1 июля 2013;0,00%
198; Кирибати;102 000;1 июля 2013;0,00%
199; Джерси (остров) (Брит.);97 857;27 марта 2011;0,00%
200; Сейшельские Острова;93 000;1 июля 2013;0,00%
201; Антигуа и Барбуда;90 000;1 июля 2013;0,00%
